TMB,PDL1_TPS(%),FCNA,HED,BMI,HGB,Albumin,NLR,Platelets,Age
,0.008211909058644667,5.938311621436225e-16,1.0,1.0,1.0,0.7902370237862335,0.010659220042349338,1.0,6.236041865962654e-17
,,0.010434302726566853,1.0,1.0,1.0,1.0,1.0,0.020057857821065707,1.0
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,1.8276995671562732e-14,0.0035708472656462435,1.061243071873407e-06,0.0016423440292298991,0.7692180332144268
,,,,,,1.7913436315771935e-91,4.746774920595218e-28,1.215865214518473e-06,1.0
,,,,,,,2.529530106747468e-94,3.015142043787793e-14,5.1422597943206505e-20
,,,,,,,,7.91012670905411e-19,0.07816453819825966
,,,,,,,,,1.0
,,,,,,,,,
